,CENSUS_YEAR,DGUID,ALT_GEO_CODE,GEO_LEVEL,GEO_NAME,TNR_SF,TNR_LF,DATA_QUALITY_FLAG,CHARACTERISTIC_ID,CHARACTERISTIC_NAME,CHARACTERISTIC_NOTE,C1_COUNT_TOTAL,SYMBOL,C2_COUNT_MEN+,SYMBOL.1,C3_COUNT_WOMEN+,SYMBOL.2,C10_RATE_TOTAL,SYMBOL.3,C11_RATE_MEN+,SYMBOL.4,C12_RATE_WOMEN+,SYMBOL.5
394702,2021,2021A00055915020,5915020,Census subdivision,"Metro Vancouver A, Regional district electoral area (RDA)",6.8,8.5,0,53,  3 persons,,1430.0,,,...,,...,18.6,,,...,,...
394703,2021,2021A00055915020,5915020,Census subdivision,"Metro Vancouver A, Regional district electoral area (RDA)",6.8,8.5,0,54,  4 persons,,855.0,,,...,,...,11.1,,,...,,...
394704,2021,2021A00055915020,5915020,Census subdivision,"Metro Vancouver A, Regional district electoral area (RDA)",6.8,8.5,0,55,  5 or more persons,,325.0,,,...,,...,4.2,,,...,,...
394705,2021,2021A00055915020,5915020,Census subdivision,"Metro Vancouver A, Regional district electoral area (RDA)",6.8,8.5,0,56,Number of persons in private households,,17085.0,,7975.0,,9110.0,,100.0,,100.0,,100.0,
394706,2021,2021A00055915020,5915020,Census subdivision,"Metro Vancouver A, Regional district electoral area (RDA)",6.8,8.5,0,57,Average household size,,2.2,,,...,,...,2.2,,,...,,...
394707,2021,2021A00055915020,5915020,Census subdivision,"Metro Vancouver A, Regional district electoral area (RDA)",6.8,8.5,0,58,Total - Marital status for the total population aged 15 years and over - 100% data,,15880.0,,7380.0,,8500.0,,100.0,,100.0,,100.0,
394708,2021,2021A00055915020,5915020,Census subdivision,"Metro Vancouver A, Regional district electoral area (RDA)",6.8,8.5,0,59,  Married or living common-law,,8005.0,,3810.0,,4195.0,,50.4,,51.6,,49.4,
394709,2021,2021A00055915020,5915020,Census subdivision,"Metro Vancouver A, Regional district electoral area (RDA)",6.8,8.5,0,60,    Married,,7020.0,,3320.0,,3700.0,,44.2,,45.0,,43.5,
394710,2021,2021A00055915020,5915020,Census subdivision,"Metro Vancouver A, Regional district electoral area (RDA)",6.8,8.5,0,61,    Living common-law,,985.0,,485.0,,495.0,,6.2,,6.6,,5.8,
394711,2021,2021A00055915020,5915020,Census subdivision,"Metro Vancouver A, Regional district electoral area (RDA)",6.8,8.5,0,62,      Living common law - Never married,,850.0,,420.0,,435.0,,5.4,,5.7,,5.1,
394712,2021,2021A00055915020,5915020,Census subdivision,"Metro Vancouver A, Regional district electoral area (RDA)",6.8,8.5,0,63,      Living common law - Separated,,15.0,,10.0,,5.0,,0.1,,0.1,,0.1,
394713,2021,2021A00055915020,5915020,Census subdivision,"Metro Vancouver A, Regional district electoral area (RDA)",6.8,8.5,0,64,      Living common law - Divorced,,110.0,,55.0,,55.0,,0.7,,0.7,,0.6,
394714,2021,2021A00055915020,5915020,Census subdivision,"Metro Vancouver A, Regional district electoral area (RDA)",6.8,8.5,0,65,      Living common law - Widowed,,10.0,,5.0,,5.0,,0.1,,0.1,,0.1,
394715,2021,2021A00055915020,5915020,Census subdivision,"Metro Vancouver A, Regional district electoral area (RDA)",6.8,8.5,0,66,  Not married and not living common-law,,7880.0,,3575.0,,4305.0,,49.6,,48.4,,50.6,
394716,2021,2021A00055915020,5915020,Census subdivision,"Metro Vancouver A, Regional district electoral area (RDA)",6.8,8.5,0,67,    Not married and not living common law - Never married,,6435.0,,3180.0,,3255.0,,40.5,,43.1,,38.3,
394717,2021,2021A00055915020,5915020,Census subdivision,"Metro Vancouver A, Regional district electoral area (RDA)",6.8,8.5,0,68,    Not married and not living common law - Separated,,345.0,,105.0,,245.0,,2.2,,1.4,,2.9,
394718,2021,2021A00055915020,5915020,Census subdivision,"Metro Vancouver A, Regional district electoral area (RDA)",6.8,8.5,0,69,    Not married and not living common law - Divorced,,645.0,,190.0,,460.0,,4.1,,2.6,,5.4,
394719,2021,2021A00055915020,5915020,Census subdivision,"Metro Vancouver A, Regional district electoral area (RDA)",6.8,8.5,0,70,    Not married and not living common law - Widowed,,450.0,,105.0,,350.0,,2.8,,1.4,,4.1,
394720,2021,2021A00055915020,5915020,Census subdivision,"Metro Vancouver A, Regional district electoral area (RDA)",6.8,8.5,0,71,Total - Census families in private households by family size - 100% data,5.0,4500.0,,,...,,...,100.0,,,...,,...
394721,2021,2021A00055915020,5915020,Census subdivision,"Metro Vancouver A, Regional district electoral area (RDA)",6.8,8.5,0,72,  2 persons,,2150.0,,,...,,...,47.8,,,...,,...
394722,2021,2021A00055915020,5915020,Census subdivision,"Metro Vancouver A, Regional district electoral area (RDA)",6.8,8.5,0,73,  3 persons,,1290.0,,,...,,...,28.7,,,...,,...
394723,2021,2021A00055915020,5915020,Census subdivision,"Metro Vancouver A, Regional district electoral area (RDA)",6.8,8.5,0,74,  4 persons,,850.0,,,...,,...,18.9,,,...,,...
394724,2021,2021A00055915020,5915020,Census subdivision,"Metro Vancouver A, Regional district electoral area (RDA)",6.8,8.5,0,75,  5 or more persons,,210.0,,,...,,...,4.7,,,...,,...
394725,2021,2021A00055915020,5915020,Census subdivision,"Metro Vancouver A, Regional district electoral area (RDA)",6.8,8.5,0,76,Average size of census families,,2.8,,,...,,...,2.8,,,...,,...
394726,2021,2021A00055915020,5915020,Census subdivision,"Metro Vancouver A, Regional district electoral area (RDA)",6.8,8.5,0,77,Average number of children in census families with children,6.0,1.6,,,...,,...,1.6,,,...,,...
394727,2021,2021A00055915020,5915020,Census subdivision,"Metro Vancouver A, Regional district electoral area (RDA)",6.8,8.5,0,78,Total number of census families in private households - 100% data,,4500.0,,,...,,...,100.0,,,...,,...
394728,2021,2021A00055915020,5915020,Census subdivision,"Metro Vancouver A, Regional district electoral area (RDA)",6.8,8.5,0,79,  Total couple families,,3555.0,,,...,,...,79.0,,,...,,...
394729,2021,2021A00055915020,5915020,Census subdivision,"Metro Vancouver A, Regional district electoral area (RDA)",6.8,8.5,0,80,    Married couples,,3060.0,,,...,,...,68.0,,,...,,...
394730,2021,2021A00055915020,5915020,Census subdivision,"Metro Vancouver A, Regional district electoral area (RDA)",6.8,8.5,0,81,      With children,6.0,1935.0,,,...,,...,43.0,,,...,,...
394731,2021,2021A00055915020,5915020,Census subdivision,"Metro Vancouver A, Regional district electoral area (RDA)",6.8,8.5,0,82,      Without children,,1130.0,,,...,,...,25.1,,,...,,...
394732,2021,2021A00055915020,5915020,Census subdivision,"Metro Vancouver A, Regional district electoral area (RDA)",6.8,8.5,0,83,    Common-law couples,,490.0,,,...,,...,10.9,,,...,,...
394733,2021,2021A00055915020,5915020,Census subdivision,"Metro Vancouver A, Regional district electoral area (RDA)",6.8,8.5,0,84,      With children,6.0,95.0,,,...,,...,2.1,,,...,,...
394734,2021,2021A00055915020,5915020,Census subdivision,"Metro Vancouver A, Regional district electoral area (RDA)",6.8,8.5,0,85,      Without children,,395.0,,,...,,...,8.8,,,...,,...
394735,2021,2021A00055915020,5915020,Census subdivision,"Metro Vancouver A, Regional district electoral area (RDA)",6.8,8.5,0,86,  Total one-parent families,,945.0,,,...,,...,21.0,,,...,,...
394736,2021,2021A00055915020,5915020,Census subdivision,"Metro Vancouver A, Regional district electoral area (RDA)",6.8,8.5,0,87,    in which the parent is a woman+,,840.0,,,...,,...,18.7,,,...,,...
394737,2021,2021A00055915020,5915020,Census subdivision,"Metro Vancouver A, Regional district electoral area (RDA)",6.8,8.5,0,88,    in which the parent is a man+,,105.0,,,...,,...,2.3,,,...,,...
394738,2021,2021A00055915020,5915020,Census subdivision,"Metro Vancouver A, Regional district electoral area (RDA)",6.8,8.5,0,89,Total - Persons in private households - 100% data,,17090.0,,7975.0,,9110.0,,100.0,,100.0,,100.0,
394739,2021,2021A00055915020,5915020,Census subdivision,"Metro Vancouver A, Regional district electoral area (RDA)",6.8,8.5,0,90,  Total - Persons in census families,,12675.0,,5990.0,,6685.0,,74.2,,75.1,,73.4,
394740,2021,2021A00055915020,5915020,Census subdivision,"Metro Vancouver A, Regional district electoral area (RDA)",6.8,8.5,0,91,    Married spouses or common-law partners,,7115.0,,3555.0,,3560.0,,41.6,,44.6,,39.1,
394741,2021,2021A00055915020,5915020,Census subdivision,"Metro Vancouver A, Regional district electoral area (RDA)",6.8,8.5,0,92,    Parents in one-parent families,,940.0,,105.0,,840.0,,5.5,,1.3,,9.2,
394742,2021,2021A00055915020,5915020,Census subdivision,"Metro Vancouver A, Regional district electoral area (RDA)",6.8,8.5,0,93,    Children,6.0,4615.0,,2335.0,,2280.0,,27.0,,29.3,,25.0,
394743,2021,2021A00055915020,5915020,Census subdivision,"Metro Vancouver A, Regional district electoral area (RDA)",6.8,8.5,0,94,      In a two-parent family,,3300.0,,1675.0,,1625.0,,19.3,,21.0,,17.8,
394744,2021,2021A00055915020,5915020,Census subdivision,"Metro Vancouver A, Regional district electoral area (RDA)",6.8,8.5,0,95,      In a one-parent family,,1320.0,,660.0,,660.0,,7.7,,8.3,,7.2,
394745,2021,2021A00055915020,5915020,Census subdivision,"Metro Vancouver A, Regional district electoral area (RDA)",6.8,8.5,0,96,  Total - Persons not in census families in private households - 100% data,,4410.0,,1985.0,,2425.0,,25.8,,24.9,,26.6,
394746,2021,2021A00055915020,5915020,Census subdivision,"Metro Vancouver A, Regional district electoral area (RDA)",6.8,8.5,0,97,    Living alone,,2525.0,,1130.0,,1395.0,,14.8,,14.2,,15.3,
394747,2021,2021A00055915020,5915020,Census subdivision,"Metro Vancouver A, Regional district electoral area (RDA)",6.8,8.5,0,98,    Living with other relatives,7.0,420.0,,180.0,,240.0,,2.5,,2.3,,2.6,
394748,2021,2021A00055915020,5915020,Census subdivision,"Metro Vancouver A, Regional district electoral area (RDA)",6.8,8.5,0,99,    Living with non-relatives only,,1470.0,,675.0,,800.0,,8.6,,8.5,,8.8,
394749,2021,2021A00055915020,5915020,Census subdivision,"Metro Vancouver A, Regional district electoral area (RDA)",6.8,8.5,0,100,Total - Household type - 100% data,,7680.0,,,...,,...,100.0,,,...,,...
394750,2021,2021A00055915020,5915020,Census subdivision,"Metro Vancouver A, Regional district electoral area (RDA)",6.8,8.5,0,101,  One-census-family households without additional persons,,4165.0,,,...,,...,54.2,,,...,,...
394751,2021,2021A00055915020,5915020,Census subdivision,"Metro Vancouver A, Regional district electoral area (RDA)",6.8,8.5,0,102,    Couple-family households,,3315.0,,,...,,...,43.2,,,...,,...
394752,2021,2021A00055915020,5915020,Census subdivision,"Metro Vancouver A, Regional district electoral area (RDA)",6.8,8.5,0,103,      With children,6.0,1910.0,,,...,,...,24.9,,,...,,...
394753,2021,2021A00055915020,5915020,Census subdivision,"Metro Vancouver A, Regional district electoral area (RDA)",6.8,8.5,0,104,      Without children,,1405.0,,,...,,...,18.3,,,...,,...
394754,2021,2021A00055915020,5915020,Census subdivision,"Metro Vancouver A, Regional district electoral area (RDA)",6.8,8.5,0,105,    One-parent-family households,,850.0,,,...,,...,11.1,,,...,,...
394755,2021,2021A00055915020,5915020,Census subdivision,"Metro Vancouver A, Regional district electoral area (RDA)",6.8,8.5,0,106,  Multigenerational households,8.0,110.0,,,...,,...,1.4,,,...,,...
394756,2021,2021A00055915020,5915020,Census subdivision,"Metro Vancouver A, Regional district electoral area (RDA)",6.8,8.5,0,107,  Multiple-census-family households,9.0,15.0,,,...,,...,0.2,,,...,,...
394757,2021,2021A00055915020,5915020,Census subdivision,"Metro Vancouver A, Regional district electoral area (RDA)",6.8,8.5,0,108,  One-census-family households with additional persons,9.0,135.0,,,...,,...,1.8,,,...,,...
394758,2021,2021A00055915020,5915020,Census subdivision,"Metro Vancouver A, Regional district electoral area (RDA)",6.8,8.5,0,109,  Two-or-more-person non-census-family households ,,735.0,,,...,,...,9.6,,,...,,...
394759,2021,2021A00055915020,5915020,Census subdivision,"Metro Vancouver A, Regional district electoral area (RDA)",6.8,8.5,0,110,  One-person households,,2525.0,,,...,,...,32.9,,,...,,...
394760,2021,2021A00055915020,5915020,Census subdivision,"Metro Vancouver A, Regional district electoral area (RDA)",6.8,8.5,0,111,Total - Income statistics in 2020 for the population aged 15 years and over in private households - 100% data,10.0,14415.0,,6595.0,,7820.0,,100.0,,100.0,,100.0,
394761,2021,2021A00055915020,5915020,Census subdivision,"Metro Vancouver A, Regional district electoral area (RDA)",6.8,8.5,0,112,  Number of total income recipients aged 15 years and over in private households in 2020 - 100% data,,13585.0,,6205.0,,7380.0,,94.2,,94.1,,94.4,
394762,2021,2021A00055915020,5915020,Census subdivision,"Metro Vancouver A, Regional district electoral area (RDA)",6.8,8.5,0,113,    Median total income in 2020 among recipients ($),,31600.0,,36800.0,,28600.0,,31600.0,,36800.0,,28600.0,
394763,2021,2021A00055915020,5915020,Census subdivision,"Metro Vancouver A, Regional district electoral area (RDA)",6.8,8.5,0,114,  Number of after-tax income recipients aged 15 years and over in private households in 2020 - 100% data,,13590.0,,6210.0,,7380.0,,94.3,,94.2,,94.4,
394764,2021,2021A00055915020,5915020,Census subdivision,"Metro Vancouver A, Regional district electoral area (RDA)",6.8,8.5,0,115,    Median after-tax income in 2020 among recipients ($),,29600.0,,34400.0,,27000.0,,29600.0,,34400.0,,27000.0,
394765,2021,2021A00055915020,5915020,Census subdivision,"Metro Vancouver A, Regional district electoral area (RDA)",6.8,8.5,0,116,  Number of market income recipients aged 15 years and over in private households in 2020 - 100% data,,11910.0,,5470.0,,6440.0,,82.6,,82.9,,82.4,
394766,2021,2021A00055915020,5915020,Census subdivision,"Metro Vancouver A, Regional district electoral area (RDA)",6.8,8.5,0,117,    Median market income in 2020 among recipients ($),,31200.0,,38400.0,,26000.0,,31200.0,,38400.0,,26000.0,
394767,2021,2021A00055915020,5915020,Census subdivision,"Metro Vancouver A, Regional district electoral area (RDA)",6.8,8.5,0,118,  Number of employment income recipients aged 15 years and over in private households in 2020 - 100% data,,8640.0,,4170.0,,4475.0,,59.9,,63.2,,57.2,
394768,2021,2021A00055915020,5915020,Census subdivision,"Metro Vancouver A, Regional district electoral area (RDA)",6.8,8.5,0,119,    Median employment income in 2020 among recipients ($),,28800.0,,36400.0,,23400.0,,28800.0,,36400.0,,23400.0,
394769,2021,2021A00055915020,5915020,Census subdivision,"Metro Vancouver A, Regional district electoral area (RDA)",6.8,8.5,0,120,  Number of government transfers recipients aged 15 years and over in private households in 2020 - 100% data,,11010.0,,4700.0,,6310.0,,76.4,,71.3,,80.7,
394770,2021,2021A00055915020,5915020,Census subdivision,"Metro Vancouver A, Regional district electoral area (RDA)",6.8,8.5,0,121,    Median government transfers in 2020 among recipients ($),,3440.0,,2500.0,,4160.0,,3440.0,,2500.0,,4160.0,
394771,2021,2021A00055915020,5915020,Census subdivision,"Metro Vancouver A, Regional district electoral area (RDA)",6.8,8.5,0,122,  Number of employment insurance benefits recipients aged 15 years and over in private households in 2020 - 100% data,,520.0,,195.0,,320.0,,3.6,,3.0,,4.1,
394772,2021,2021A00055915020,5915020,Census subdivision,"Metro Vancouver A, Regional district electoral area (RDA)",6.8,8.5,0,123,    Median employment insurance benefits in 2020 among recipients ($),,5760.0,,5480.0,,6000.0,,5760.0,,5480.0,,6000.0,
394773,2021,2021A00055915020,5915020,Census subdivision,"Metro Vancouver A, Regional district electoral area (RDA)",6.8,8.5,0,124,  Number of COVID-19 emergency and recovery benefits recipients aged 15 years and over in private households in 2020 - 100% data,,3645.0,,1655.0,,1990.0,,25.3,,25.1,,25.4,
394774,2021,2021A00055915020,5915020,Census subdivision,"Metro Vancouver A, Regional district electoral area (RDA)",6.8,8.5,0,125,    Median COVID-19 emergency and recovery benefits in 2020 among recipients ($),,6000.0,,6000.0,,6000.0,,6000.0,,6000.0,,6000.0,
394775,2021,2021A00055915020,5915020,Census subdivision,"Metro Vancouver A, Regional district electoral area (RDA)",6.8,8.5,0,126,Total - Income statistics in 2020 for the population aged 15 years and over in private households - 25% sample data,11.0,14350.0,,6605.0,,7740.0,,100.0,,100.0,,100.0,
394776,2021,2021A00055915020,5915020,Census subdivision,"Metro Vancouver A, Regional district electoral area (RDA)",6.8,8.5,0,127,  Number of total income recipients aged 15 years and over in private households in 2020 - 25% sample data,,13510.0,,6180.0,,7330.0,,94.1,,93.6,,94.7,
394777,2021,2021A00055915020,5915020,Census subdivision,"Metro Vancouver A, Regional district electoral area (RDA)",6.8,8.5,0,128,    Average total income in 2020 among recipients ($),,57350.0,,69300.0,,47320.0,,57350.0,,69300.0,,47320.0,
394778,2021,2021A00055915020,5915020,Census subdivision,"Metro Vancouver A, Regional district electoral area (RDA)",6.8,8.5,0,129,  Number of after-tax income recipients aged 15 years and over in private households in 2020 - 25% sample data,,13520.0,,6190.0,,7330.0,,94.2,,93.7,,94.7,
