YEAR;CULTURAL_SPACE_NAME;WEBSITE;TYPE;PRIMARY_USE;ADDRESS;LOCAL_AREA;OWNERSHIP;SQUARE_FEET;NUMBER_OF_SEATS;ACTIVE_SPACE;Geom;geo_point_2d
2017;15th Field Artillery Regiment Museum and Archives;www.memorybc.ca/museum-of-15th-field-artillery-regiment;Museum/Gallery;Museum/Gallery;2025 W 11th Av, Vancouver, BC, V6J 2C7;Kitsilano;Privately Owned;;;Yes;"{""coordinates"": [-123.151123, 49.261938], ""type"": ""Point""}";49.261938, -123.151123
2017;Acme Studios;https://www.facebook.com/ACMEstudiobuilding;Studio/Rehearsal;Artist Studio;112 E Hastings St, Vancouver, BC, V6A 4J1;Downtown;Privately Owned;18000;;Yes;"{""coordinates"": [-123.101791, 49.281101], ""type"": ""Point""}";49.281101, -123.101791
2017;AHVA Gallery;http://gallery.ahva.ubc.ca/about/;Museum/Gallery;Museum/Gallery;6398 University Blvd, Vancouver, BC,;UBC;Other;1990;;Yes;"{""coordinates"": [-123.2549451, 49.2639124], ""type"": ""Point""}";49.2639124, -123.2549451
2017;Al Mozaico Flamenco Dance Academy;http://www.mozaicoflamenco.com/;Educational;Educational Institution;828 E Hastings St, Vancouver, BC, V6A 1R6;Strathcona;Privately Owned;;;Yes;"{""coordinates"": [-123.0864434, 49.2810234], ""type"": ""Point""}";49.2810234, -123.0864434
2017;Alternative Creations Studio;http://www.arthives.org/arthives/alternative-creations-studio;Studio/Rehearsal;Artist Studio;1387 Venables St, Vancouver, BC, V5L 2G1;Strathcona;Privately Owned;;;Yes;"{""coordinates"": [-123.075559, 49.277071], ""type"": ""Point""}";49.277071, -123.075559
2017;Anza Club (Australia-New Zealand Association);http://www.anzaclub.org;Theatre/Performance;Performance Space;3 W 8th Av, Vancouver, BC, V5Y 1M8;Mount Pleasant;Non-Profit;2885;135;Yes;"{""coordinates"": [-123.105108, 49.263974], ""type"": ""Point""}";49.263974, -123.105108
2017;Architectural Institute of BC Gallery;www.aibc.ca;Museum/Gallery;Museum/Gallery;440 Cambie St, Vancouver, BC, V6B 2N5;Downtown;Non-Profit;250;;Yes;"{""coordinates"": [-123.1095005, 49.2817199], ""type"": ""Point""}";49.2817199, -123.1095005
2017;Art Beatus;www.artbeatus.com;Museum/Gallery;Museum/Gallery;808 Nelson St, Vancouver, BC, V6Z 2H2;Downtown;Privately Owned;3700;;Yes;"{""coordinates"": [-123.1249139, 49.2800409], ""type"": ""Point""}";49.2800409, -123.1249139
2017;Art Works Gallery;http://artworksbc.com/;Museum/Gallery;Museum/Gallery;225 Smithe St, Vancouver, BC, V6B 4X7;Downtown;Privately Owned;;;Yes;"{""coordinates"": [-123.1165781, 49.2775077], ""type"": ""Point""}";49.2775077, -123.1165781
2017;Arts Club Theatre - Stanley Industrial Alliance Stage;http://www.artsclub.com;Theatre/Performance;Theatre;2750 Granville St, Vancouver, BC, V6H 3J3;Fairview;Non-Profit;16500;650;Yes;"{""coordinates"": [-123.1382118, 49.261346], ""type"": ""Point""}";49.261346, -123.1382118
2017;Arts Factory;http://www.artsfactorysociety.ca/;Studio/Rehearsal;Artist Studio;281 Industrial, Vancouver, BC, V5A 2P2;Strathcona;City of Vancouver;21000;;Yes;"{""coordinates"": [-123.098517, 49.270111], ""type"": ""Point""}";49.270111, -123.098517
2017;BAF Studio;http://www.burrardarts.org/about.html;Studio/Rehearsal;Artist Studio;108 E Broadway Av, Vancouver, BC, V5T 1V9;Mount Pleasant;Privately Owned;1200;;Yes;"{""coordinates"": [-123.102565, 49.2626666], ""type"": ""Point""}";49.2626666, -123.102565
2017;Beaty Biodiversity Museum;http://www.beatymuseum.ubc.ca/about;Museum/Gallery;Museum/Gallery;2212 Main Mall, Vancouver, BC, V6T 1Z4;UBC;Other;20000;;Yes;"{""coordinates"": [-123.251485, 49.2634318], ""type"": ""Point""}";49.2634318, -123.251485
2017;Britannia Community Services Centre Society;www.britanniacentre.org;Community Space;Community Centre/Hall;1661 Napier St, Vancouver, BC, V5L 4X4;Grandview-Woodland;City of Vancouver;;;Yes;"{""coordinates"": [-123.0737717, 49.2756486], ""type"": ""Point""}";49.2756486, -123.0737717
2017;Bruhanski Acting Studio;http://bruhanski.com/;Educational;Educational Institution;164 E 11th Av, Vancouver, BC, V5T 2C2;Mount Pleasant;Privately Owned;;;Yes;"{""coordinates"": [-123.1021231, 49.2611004], ""type"": ""Point""}";49.2611004, -123.1021231
2017;Canadian Music Centre (BC Region);http://www.musiccentre.ca/regions/british-columbia?field_event_region_value_many_to_one=3;Museum/Gallery;Library/Archives;837 Davie St, Vancouver, BC, V6Z 1B7;Downtown;Privately Owned;2680;;Yes;"{""coordinates"": [-123.127484, 49.278055], ""type"": ""Point""}";49.278055, -123.127484
2017;CBC Studio 700;http://www.cbc.ca/bc/communityspaces/studio700.html#igImgId_11630;Theatre/Performance;Performance Space;700 Hamilton St, Vancouver, BC, V6B 2R5;Downtown;Government;2784;140;Yes;"{""coordinates"": [-123.114496, 49.279079], ""type"": ""Point""}";49.279079, -123.114496
2017;Chapel Arts;www.chapelarts.com?;Theatre/Performance;Performance Space;304 Dunlevy St, Vancouver, BC, V6A 3Y4;Strathcona;Privately Owned;2882;;Yes;"{""coordinates"": [-123.0953265, 49.2821671], ""type"": ""Point""}";49.2821671, -123.0953265
2017;Christianne's Lyceum;http://www.christiannehayward.com/;Educational;Educational Institution;3696 W 8th Av, Vancouver, BC, V6R 1Z1;Kitsilano;Privately Owned;;;Yes;"{""coordinates"": [-123.1857634, 49.2652165], ""type"": ""Point""}";49.2652165, -123.1857634
2017;City of Vancouver Artist Studio;https://vancouver.ca/people-programs/artist-live-work-studio-program.aspx;Studio/Rehearsal;Artist Studio with Residence;485 W 8th Av, Vancouver, BC, V5Y 3Z5;Mount Pleasant;Privately Owned;1100;;Yes;"{""coordinates"": [-123.1138, 49.2641907], ""type"": ""Point""}";49.2641907, -123.1138
2017;City of Vancouver Artist Studio;https://vancouver.ca/people-programs/artist-live-work-studio-program.aspx;Studio/Rehearsal;Artist Studio with Residence;272 E 4th Av, Vancouver, BC, V5T 4S2;Mount Pleasant;City of Vancouver;1500;;Yes;"{""coordinates"": [-123.0990734, 49.2670319], ""type"": ""Point""}";49.2670319, -123.0990734
2017;City of Vancouver Artist Studio;https://vancouver.ca/people-programs/artist-live-work-studio-program.aspx;Studio/Rehearsal;Artist Studio with Residence;1202 E Pender St, Vancouver, BC, V6A 1W8;Strathcona;City of Vancouver;1446;;Yes;"{""coordinates"": [-123.0789337, 49.2802238], ""type"": ""Point""}";49.2802238, -123.0789337
2017;Coal Harbour Community Centre;http://vancouver.ca/parks-recreation-culture/coal-harbour-community-centre.aspx;Community Space;Community Centre/Hall;480 Broughton St, Vancouver, BC, V6G 3H4;Downtown;Vancouver Park Board/COV;;;Yes;"{""coordinates"": [-123.125885091572, 49.2901651976341], ""type"": ""Point""}";49.2901651976341, -123.125885091572
2017;Commodore Ballroom;http://www.commodoreballroom.ca?;Cafe/Restaurant/Bar;Bar/Lounge/Cabaret;868 Granville St, Vancouver, BC, V6Z 1K3;Downtown;Privately Owned;4205;;Yes;"{""coordinates"": [-123.1208909, 49.2806189], ""type"": ""Point""}";49.2806189, -123.1208909
2017;Core Live/Work Studios;www.chf.bc.ca;Studio/Rehearsal;Artist Studio with Residence;275 Alexander St, Vancouver, BC, V6A 1C2;Strathcona;City of Vancouver;4500;;Yes;"{""coordinates"": [-123.0985607, 49.2841198], ""type"": ""Point""}";49.2841198, -123.0985607
2017;Croatian Cultural Centre;www.croatiancentre.com;Community Space;Community Centre/Hall;3250 Commercial Dr, Vancouver, BC, V5N 4E4;Kensington-Cedar Cottage;Non-Profit;16543;;Yes;"{""coordinates"": [-123.06845, 49.255421], ""type"": ""Point""}";49.255421, -123.06845
2017;DeSerres;http://www.deserres.ca/;Other;Retail;2811 Grandview Hwy, Vancouver, BC, V5M 2E1;Fairview;Privately Owned;;;Yes;"{""coordinates"": [-123.046215, 49.258426], ""type"": ""Point""}";49.258426, -123.046215
2017;Douglas Park Community Centre;https://vancouver.ca/parks-recreation-culture/douglas-park-community-centre.aspx;Community Space;Community Centre/Hall;801 W 22nd Av, Vancouver, BC, V5Z 1Z8;South Cambie;Vancouver Park Board/COV;;;Yes;"{""coordinates"": [-123.121277422182, 49.2529172469768], ""type"": ""Point""}";49.2529172469768, -123.121277422182
2017;Douglas Reynolds Gallery;www.douglasreynoldsgallery.com;Museum/Gallery;Museum/Gallery;2335 Granville St, Vancouver, BC, V6H 3G4;Fairview;Privately Owned;;;Yes;"{""coordinates"": [-123.1385998, 49.2648423], ""type"": ""Point""}";49.2648423, -123.1385998
2017;Douglas Udell Gallery;www.douglasudellgallery.com?;Museum/Gallery;Museum/Gallery;1558 W 6th Av, Vancouver, BC, V6J 1R2;Fairview;Privately Owned;;;Yes;"{""coordinates"": [-123.1399725, 49.2661804], ""type"": ""Point""}";49.2661804, -123.1399725
2017;Dunbar Community Centre;http://dunbarcentre.org/dunbar/;Community Space;Community Centre/Hall;4747 Dunbar St, Vancouver, BC, V6S 2H2;Dunbar-Southlands;Vancouver Park Board/COV;;;Yes;"{""coordinates"": [-123.188251960704, 49.2428154263277], ""type"": ""Point""}";49.2428154263277, -123.188251960704
2017;East Van Studios;http://eastvanstudios.wordpress.com/;Studio/Rehearsal;Film/Recording Studio;870 E Cordova St, Vancouver, BC, V6A 1M4;Strathcona;Privately Owned;1500;;Yes;"{""coordinates"": [-123.0854969, 49.2817549], ""type"": ""Point""}";49.2817549, -123.0854969
2017;Elissa Cristall Galleries;http://cristallgallery.com;Museum/Gallery;Museum/Gallery;2239 Granville St, Vancouver, BC, V6H 3G1;Fairview;Privately Owned;;;Yes;"{""coordinates"": [-123.1385822, 49.2655257], ""type"": ""Point""}";49.2655257, -123.1385822
2017;Emily Carr University of Art + Design;www.ecuad.ca;Educational;Educational Institution;520 E 1st Av, Vancouver, BC, V5T 0H2;Strathcona;Other;;;Yes;"{""coordinates"": [-123.092526, 49.267591], ""type"": ""Point""}";49.267591, -123.092526
2017;Famee Furlane of Vancouver;http://www.fameefurlanevancouver.com/;Community Space;Community Centre/Hall;2605 E Pender St, Vancouver, BC, V5K 2B6;Hastings-Sunrise;Privately Owned;3800;;Yes;"{""coordinates"": [-123.051665, 49.280412], ""type"": ""Point""}";49.280412, -123.051665
2017;FanClub;http://vancouverfanclub.ca/;Theatre/Performance;Performance Space;1050 Granville St, Vancouver, BC, V6Z 1L2;Downtown;Privately Owned;6500;;Yes;"{""coordinates"": [-123.1235587, 49.2784977], ""type"": ""Point""}";49.2784977, -123.1235587
2017;Federation Gallery;http://artists.ca/federation_gallery;Museum/Gallery;Museum/Gallery;1241 Cartwright St, Vancouver, BC, V6H 4B7;Fairview;Privately Owned;1200;;Yes;"{""coordinates"": [-123.13225, 49.269582], ""type"": ""Point""}";49.269582, -123.13225
2017;Fei & Milton Wong Experimental Theatre;https://www.sfu.ca/sfuwoodwards/venue/venue-details.html;Theatre/Performance;Theatre;149 W Hastings St, Vancouver, BC, V6B 1H4;Downtown;Other;;440;Yes;"{""coordinates"": [-123.10859, 49.282402], ""type"": ""Point""}";49.282402, -123.10859
2017;Firehall Arts Centre;www.firehallartscentre.ca?;Theatre/Performance;Theatre;280 E Cordova St, Vancouver, BC, V6A 1L3;Strathcona;City of Vancouver;12386;136;Yes;"{""coordinates"": [-123.097921, 49.282083], ""type"": ""Point""}";49.282083, -123.097921
2017;Forge and Form;www.forgeandform.com;Studio/Rehearsal;Artist Studio;1334 Cartwright St, Vancouver, BC, V6H 3R8;Fairview;Government;;;Yes;"{""coordinates"": [-123.1343033, 49.2698934], ""type"": ""Point""}";49.2698934, -123.1343033
2017;Gallery 295;http://gallery295.com/295/;Museum/Gallery;Museum/Gallery;295 E 2nd Av, Vancouver, BC, V5T 1B8;Strathcona;Privately Owned;;;Yes;"{""coordinates"": [-123.0981191, 49.2680645], ""type"": ""Point""}";49.2680645, -123.0981191
2017;Gallery of BC Ceramics;http://www.bcpotters.com/Gallery/index.php;Museum/Gallery;Museum/Gallery;1359 Cartwright St, Vancouver, BC, V6H 3R7;Fairview;Non-Profit;1505;;Yes;"{""coordinates"": [-123.134283, 49.270046], ""type"": ""Point""}";49.270046, -123.134283
2017;Goldcorp Centre for the Arts - SFU;http://www.sfu.ca/sfuwoodwards/goldcorp-centre-for-the-arts.html;Educational;Educational Institution;149 W Hastings St, Vancouver, BC, V6B 1H4;Downtown;Other;125000;;Yes;"{""coordinates"": [-123.108696, 49.28243], ""type"": ""Point""}";49.28243, -123.108696
2017;Gordon Neighbourhood house;http://gordonhouse.org/;Community Space;Community Centre/Hall;1019 Broughton St, Vancouver, BC, V6G 2A7;West End;Non-Profit;;;Yes;"{""coordinates"": [-123.1337018, 49.2856642], ""type"": ""Point""}";49.2856642, -123.1337018
2017;Granville Island;;Community Space;Plaza/Park/Band Shell;Granville Island, Vancouver, BC;Fairview;Government;;;Yes;"{""coordinates"": [-123.134845, 49.269463], ""type"": ""Point""}";49.269463, -123.134845
2017;H.R. Macmillan Space Centre;http://www.spacecentre.ca/;Museum/Gallery;Garden/Aquarium/Science Centre;1100 Chestnut St, Vancouver, BC, V6J 3J9;Kitsilano;City of Vancouver;16275;;Yes;"{""coordinates"": [-123.144299, 49.276361], ""type"": ""Point""}";49.276361, -123.144299
2017;Harbour Dance Center;http://www.harbourdance.com/;Studio/Rehearsal;Rehearsal Studio;927 Granville St, Vancouver, BC, V6Z 1L3;Downtown;Privately Owned;9781;;Yes;"{""coordinates"": [-123.1221484, 49.2799092], ""type"": ""Point""}";49.2799092, -123.1221484
2017;Harrison Galleries;www.harrisongalleries.com;Museum/Gallery;Museum/Gallery;901 Homer St, Vancouver, BC, V6B 2W6;Downtown;Privately Owned;4500;;Yes;"{""coordinates"": [-123.1184779, 49.2784569], ""type"": ""Point""}";49.2784569, -123.1184779
2017;Hastings Mill Store Museum;www.hastings-mill-museum.ca?;Museum/Gallery;Museum/Gallery;1575 Alma St, Vancouver, BC, V6R 3P3;West Point Grey;City of Vancouver;2000;;Yes;"{""coordinates"": [-123.185988, 49.272817], ""type"": ""Point""}";49.272817, -123.185988
2017;Hatch Art Gallery;http://www.ams.ubc.ca/nest/arts-and-attractions/art-gallery/;Museum/Gallery;Museum/Gallery;6133 University Blvd, Vancouver, BC, V6T 1Z1;UBC;Non-Profit;12500;;Yes;"{""coordinates"": [-123.249913, 49.266025], ""type"": ""Point""}";49.266025, -123.249913
2017;Heffel Gallery Ltd;www.heffel.com;Museum/Gallery;Museum/Gallery;2247 Granville St, Vancouver, BC, V6H 3G1;Fairview;Privately Owned;7500;;Yes;"{""coordinates"": [-123.1389124, 49.2654685], ""type"": ""Point""}";49.2654685, -123.1389124
2017;Holy Rosary Cathedral;www.hrc.rcav.org;Community Space;Place of Worship;646 Richards St, Vancouver, BC, V6B 3A3;Downtown;Other;16744;;Yes;"{""coordinates"": [-123.1152408, 49.2818067], ""type"": ""Point""}";49.2818067, -123.1152408
2017;Inuit Gallery of Vancouver;www.inuit.com;Museum/Gallery;Museum/Gallery;206 Cambie St, Vancouver, BC, V6B 2M9;Downtown;Privately Owned;;;Yes;"{""coordinates"": [-123.1088083, 49.2842455], ""type"": ""Point""}";49.2842455, -123.1088083
2017;James Tan Gallery;http://www.jamestan.com/home.htm;Museum/Gallery;Museum/Gallery;437 Columbia St, Vancouver, BC, V6A 2R9;Downtown;Privately Owned;;;Yes;"{""coordinates"": [-123.1023067, 49.2810853], ""type"": ""Point""}";49.2810853, -123.1023067
2017;Jean Lyons School of Music;http://jeanlyonsmusic.com/;Educational;Educational Institution;77 E 7th Av, Vancouver, BC, V5T 1M4;Mount Pleasant;Privately Owned;;;Yes;"{""coordinates"": [-123.1033467, 49.2648965], ""type"": ""Point""}";49.2648965, -123.1033467
2017;John Hendry Park (Trout Lake);;Community Space;Plaza/Park/Band Shell;3300 Victoria Dr, Vancouver, BC, V5N 4L9;Kensington-Cedar Cottage;Vancouver Park Board/COV;160565;;Yes;"{""coordinates"": [-123.06391, 49.25716], ""type"": ""Point""}";49.25716, -123.06391
2017;Kafka's Coffee and Tea;www.kafkascoffee.ca;Cafe/Restaurant/Bar;Cafe/Restaurant;2525 Main St, Vancouver, BC, V5T 3E5;Mount Pleasant;Privately Owned;;;Yes;"{""coordinates"": [-123.1014219, 49.2623554], ""type"": ""Point""}";49.2623554, -123.1014219
2017;Karen Flamenco Dance Society;http://karenflamenco.com;Studio/Rehearsal;Rehearsal Studio;60 W 7th Av, Vancouver, BC, V5Y 1L6;Mount Pleasant;Privately Owned;;;Yes;"{""coordinates"": [-123.106533, 49.2644359], ""type"": ""Point""}";49.2644359, -123.106533
2017;Kitsilano War Memorial Community Centre;http://vancouver.ca/parks-recreation-culture/kitsilano-war-memorial-community-centre.aspx;Community Space;Community Centre/Hall;2690 Larch St, Vancouver, BC, V6K 4K9;Kitsilano;Vancouver Park Board/COV;;;Yes;"{""coordinates"": [-123.160105613733, 49.2620553391672], ""type"": ""Point""}";49.2620553391672, -123.160105613733
2017;La Maison de la Francophonie de Vancouver;www.lamaison.bc.ca;Community Space;Community Centre/Hall;1555 W 7th Av, Vancouver, BC, V6J 1S1;Fairview;Privately Owned;;;Yes;"{""coordinates"": [-123.14003, 49.26567], ""type"": ""Point""}";49.26567, -123.14003
2017;Larwill Park;https://en.wikipedia.org/wiki/Larwill_Park;Community Space;Plaza/Park/Band Shell;688 Cambie St, Vancouver, BC, V6B 1T9;Downtown;City of Vancouver;;;Yes;"{""coordinates"": [-123.111836, 49.28042], ""type"": ""Point""}";49.28042, -123.111836
2017;Lattimer Gallery;www.lattimergallery.com?;Museum/Gallery;Museum/Gallery;1590 W 2nd Av, Vancouver, BC, V6J 1H2;Fairview;Privately Owned;;;Yes;"{""coordinates"": [-123.1406592, 49.2696829], ""type"": ""Point""}";49.2696829, -123.1406592
2017;Left of Main;http://www.plasticorchidfactory.com/left-of-main/;Studio/Rehearsal;Rehearsal Studio;544 Main St, Vancouver, BC, V6A 2T9;Strathcona;Privately Owned;;;Yes;"{""coordinates"": [-123.099729, 49.279824], ""type"": ""Point""}";49.279824, -123.099729
2017;Magic Trout Imaginarium;https://www.magictroutimaginarium.com/;Community Space;Community Centre/Hall;3360 Victoria Dr, Vancouver, BC, V5N 4M4;Grandview-Woodland;Privately Owned;176;12;Yes;"{""coordinates"": [-123.0660729, 49.2549423], ""type"": ""Point""}";49.2549423, -123.0660729
2017;Make Gallery;http://makeisawesome.com/;Museum/Gallery;Museum/Gallery;257 E 7th Av, Vancouver, BC, V5T 0B4;Mount Pleasant;Privately Owned;1000;;Yes;"{""coordinates"": [-123.0992862, 49.2646046], ""type"": ""Point""}";49.2646046, -123.0992862
2017;MakerLabs;www.makerlabs.ca;Studio/Rehearsal;Workshop;780 E Cordova St, Vancouver, BC, V6A1M3;Strathcona;Privately Owned;26000;300;Yes;"{""coordinates"": [-123.087695, 49.2818014], ""type"": ""Point""}";49.2818014, -123.087695
2017;Marpole-Oakridge Community Centre;http://www.marpoleoakridge.org/;Community Space;Community Centre/Hall;990 W 59th Av, Vancouver, BC, V6P 1X9;Marpole;Vancouver Park Board/COV;;;Yes;"{""coordinates"": [-123.127481913823, 49.2144740996897], ""type"": ""Point""}";49.2144740996897, -123.127481913823
2017;Memorial South Park Field House;http://vancouver.ca/parks-recreation-culture/memorial-south-park-fieldhouse.aspx;Studio/Rehearsal;Artist Studio;5955 Ross St, Vancouver, BC, V5W 1T7;Sunset;Vancouver Park Board/COV;;;Yes;"{""coordinates"": [-123.082685, 49.2303947], ""type"": ""Point""}";49.2303947, -123.082685
2017;Moberly Park Field House;http://vancouver.ca/parks-recreation-culture/moberly-park-fieldhouse.aspx;Studio/Rehearsal;Artist Studio;7646 Prince Albert, Vancouver, BC, V5X 3Z4;Sunset;Vancouver Park Board/COV;;;Yes;"{""coordinates"": [-123.087095, 49.215253], ""type"": ""Point""}";49.215253, -123.087095
2017;Octopus Studios;http://octopusstudios.blogspot.ca/;Studio/Rehearsal;Artist Studio;393 Powell St, Vancouver, BC, V6A 1G5;Strathcona;Privately Owned;3000;;Yes;"{""coordinates"": [-123.0957216, 49.2833651], ""type"": ""Point""}";49.2833651, -123.0957216
2017;Oppenheimer Park;;Community Space;Plaza/Park/Band Shell;400 Powell St, Vancouver, BC, V6A 1G6;Strathcona;Vancouver Park Board/COV;;;Yes;"{""coordinates"": [-123.094341, 49.282643], ""type"": ""Point""}";49.282643, -123.094341
2017;Opus Art Supplies;http://opusartsupplies.com;Other;Retail;207 W Hastings St, Vancouver, BC, V6B 1H7;Downtown;Privately Owned;;;Yes;"{""coordinates"": [-123.109698, 49.282993], ""type"": ""Point""}";49.282993, -123.109698
2017;Or Gallery;www.orgallery.org?;Museum/Gallery;Museum/Gallery;555 Hamilton St, Vancouver, BC, V6B 2R1;Downtown;Privately Owned;2043;;Yes;"{""coordinates"": [-123.112094, 49.281406], ""type"": ""Point""}";49.281406, -123.112094
2017;Orpheum Annex;http://vancouver.caparks-recreation-culture/rent-the-orpheum-annex.aspx;Theatre/Performance;Performance Space;823 Seymour St, Vancouver, BC, V6B 5G1;Downtown;City of Vancouver;3500;193;Yes;"{""coordinates"": [-123.1194108, 49.2803528], ""type"": ""Point""}";49.2803528, -123.1194108
2017;Pendulum Gallery;www.pendulumgallery.bc.ca?;Museum/Gallery;Museum/Gallery;885 W Georgia St, Vancouver, BC, V6C 3E8;Downtown;Privately Owned;3000;;Yes;"{""coordinates"": [-123.119963, 49.283709], ""type"": ""Point""}";49.283709, -123.119963
2017;Peretz Centre for Secular Jewish Culture;http://www.peretz-centre.org/index.html;Community Space;Community Centre/Hall;6184 Ash St, Vancouver, BC, V5Z 3G9;Oakridge;Non-Profit;8000;;Yes;"{""coordinates"": [-123.117654, 49.229111], ""type"": ""Point""}";49.229111, -123.117654
2017;Performing Arts Lodge (PAL);http://www.palvancouver.org/?q=pal-theatre;Studio/Rehearsal;Artist Housing;581 Cardero St, Vancouver, BC, V6G 3L2;Downtown;Non-Profit;;;Yes;"{""coordinates"": [-123.130114, 49.29119], ""type"": ""Point""}";49.29119, -123.130114
2017;Playwrights Theatre Centre;www.playwrightstheatre.com?;Studio/Rehearsal;Rehearsal Studio;739 Gore Av, Vancouver, BC, V6A 2Z9;Strathcona;Privately Owned;800;;Yes;"{""coordinates"": [-123.0970675, 49.2781751], ""type"": ""Point""}";49.2781751, -123.0970675
2017;Progress Lab 1422;www.pl1422.blogspot.com?;Studio/Rehearsal;Rehearsal Studio;1422 William, Vancouver, BC, V5L 2P7;Grandview-Woodland;Privately Owned;7000;100;Yes;"{""coordinates"": [-123.0752583, 49.2737909], ""type"": ""Point""}";49.2737909, -123.0752583
2017;Queen Elizabeth Park - Artist Residence;http://vancouver.ca/parks-recreation-culture/queen-elizabeth-park.aspx;Studio/Rehearsal;Artist Studio;4600 Cambie St, Vancouver, BC, V5Y 2M5;Riley Park;Vancouver Park Board/COV;;;Yes;"{""coordinates"": [-123.111815, 49.24203], ""type"": ""Point""}";49.24203, -123.111815
2017;Remington Gallery and Studio;https://www.facebook.com/Remington.Gallery.and.Studio;Museum/Gallery;Museum/Gallery;108 E Hastings St, Vancouver, BC, V6A 4J1;Downtown;Privately Owned;;;Yes;"{""coordinates"": [-123.1019396, 49.281336], ""type"": ""Point""}";49.281336, -123.1019396
2017;Rio Theatre;www.riotheatre.ca?;Theatre/Performance;Cinema;1660 E Broadway, Vancouver, BC, V5N 1W1;Kensington-Cedar Cottage;Privately Owned;;420;Yes;"{""coordinates"": [-123.0704852, 49.2620042], ""type"": ""Point""}";49.2620042, -123.0704852
2017;Roedde House;www.roeddehouse.org;Museum/Gallery;Museum/Gallery;1415 Barclay St, Vancouver, BC, V6G 1J6;West End;City of Vancouver;1641;35;Yes;"{""coordinates"": [-123.132187, 49.286863], ""type"": ""Point""}";49.286863, -123.132187
2017;Roundhouse Community Centre;www.roundhouse.ca?;Community Space;Community Centre/Hall;181 Roundhouse Mews, Vancouver, BC, V6Z 2W3;Downtown;City of Vancouver;20000;;Yes;"{""coordinates"": [-123.121747, 49.273308], ""type"": ""Point""}";49.273308, -123.121747
2017;Roy Barnett Recital Hall;http://www.music.ubc.ca/about-us/facilities/roy-barnett-recital-hall.html;Theatre/Performance;Performance Space;6361 Memorial Rd, Vancouver, BC, V6T 1Z2;UBC;Other;;255;Yes;"{""coordinates"": [-123.256613, 49.267411], ""type"": ""Point""}";49.267411, -123.256613
2017;Russian Hall;;Community Space;Community Centre/Hall;600 Campbell Av, Vancouver, BC, V6A 3K1;Strathcona;Non-Profit;6300;;Yes;"{""coordinates"": [-123.084646, 49.27895], ""type"": ""Point""}";49.27895, -123.084646
2017;Ryerson United Church;www.ryersonunited.ca;Community Space;Place of Worship;2195 W 45th Av, Vancouver, BC, V6M  2J2;Kerrisdale;Other;;450;Yes;"{""coordinates"": [-123.1585257, 49.2309378], ""type"": ""Point""}";49.2309378, -123.1585257
2017;Sarah McLachlan School of Music;www.sarahschoolofmusic.com?;Educational;Educational Institution;138 E 7th Av, Vancouver, BC, V5T 1M6;Mount Pleasant;Privately Owned;16000;;Yes;"{""coordinates"": [-123.101954, 49.264581], ""type"": ""Point""}";49.264581, -123.101954
2017;Scotiabank Dance Centre - Earl Kraul & Grant Strate Studio;www.thedancecentre.ca?;Studio/Rehearsal;Rehearsal Studio;677 Davie St, Vancouver, BC, V6B 2G6;Downtown;Non-Profit;28166;;Yes;"{""coordinates"": [-123.125738, 49.277084], ""type"": ""Point""}";49.277084, -123.125738
2017;Scottish Cultural Centre;www.scottishculturalcentre.com?;Community Space;Community Centre/Hall;8886 Hudson St, Vancouver, BC, V6P 4N2;Marpole;Non-Profit;8431;;Yes;"{""coordinates"": [-123.134666, 49.204487], ""type"": ""Point""}";49.204487, -123.134666
2017;Slocan Park Field House;http://vancouver.ca/parks-recreation-culture/slocan-park-fieldhouse.aspx;Studio/Rehearsal;Artist Studio;2750 E 29th Av, Vancouver, BC, V5R 1V6;Renfrew-Collingwood;Vancouver Park Board/COV;2077;;Yes;"{""coordinates"": [-123.0483891, 49.244559], ""type"": ""Point""}";49.244559, -123.0483891
2017;Soundhouse Studios;http://www.soundhousestudios.com/;Studio/Rehearsal;Film/Recording Studio;33 W 8th Av, Vancouver, BC, V5Y 1M8;Mount Pleasant;Privately Owned;7000;;Yes;"{""coordinates"": [-123.1057281, 49.2640305], ""type"": ""Point""}";49.2640305, -123.1057281
2017;Studio 1398;www.giculturalsociety.org/studio1398/;Studio/Rehearsal;Rehearsal Studio;1398 Cartwright St, Vancouver, BC, V6H 3R8;Fairview;Government;1748;96;Yes;"{""coordinates"": [-123.135137, 49.269883], ""type"": ""Point""}";49.269883, -123.135137
2017;Teck Gallery;https://www.sfu.ca/galleries/teck-gallery.html;Museum/Gallery;Museum/Gallery;515 W Hastings St, Vancouver, BC, V6B 0B2;Downtown;Privately Owned;625;;Yes;"{""coordinates"": [-123.1119735, 49.2841655], ""type"": ""Point""}";49.2841655, -123.1119735
2017;The Art Studios;http://vrtas.ca/about/the-art-studios/;Studio/Rehearsal;Artist Studio;2005 E 44th Av, Vancouver, BC, V5P 1N1;Victoria-Fraserview;Privately Owned;3157;;Yes;"{""coordinates"": [-123.065163, 49.230484], ""type"": ""Point""}";49.230484, -123.065163
2017;The Landing Dance Centre;www.thelandingdance.com;Educational;Educational Institution;270 SW Marine Dr, Vancouver, BC, V5X 2R5;Marpole;Privately Owned;5470;;Yes;"{""coordinates"": [-123.1125632, 49.2113805], ""type"": ""Point""}";49.2113805, -123.1125632
